questions,correct_answers,wrong1,wrong2,wrong3
Question: How many seasons of Friends are there?,Ten seasons,Eight seasons,Twelve seasons,Five seasons
Question: Joey played Dr Drake Ramoray on which soap opera show?,Days of Our Lives,The Bold and the Beautiful,Melrose Place,Grey's Anatomy
Question: How many times did Ross get divorced?,Three,Two,One,None
Question: What store does Phoebe hate?,Pottery Barn,IKEA,Wallmart,MacDonald's
Question: Rachel got a job with which company in Paris?,Louis Vuitton,Yves Saint Laurent,Renault,Dior
Question: What are the names of Ross and Monica's parents?,Jack and Judy Geller,John and Jill Geller,Jim and Judd Geller,Tim and Helen Geller
Question: What was the occupation of Rachel's fiancé Barry Farber?,Orthodontist,Dentist,Gynecologist,Ophthalmologist
Question: Who was the maid of honor at Monica's wedding?,Rachel,Phoebe,Janice,Carol
Question: Phoebe's scientist boyfriend David worked in what city?,Minsk,Seatle,London,Kiev
Question: Monica dated an ophthalmologist named?,Richard,Raymond,Donald,Jason
Question: Which Sprouse brother played Ross' son Ben?,Cole,Jonathan,Antony,Nick
"Question: True or false, Rachel kissed all of her Friends (male and female) on the show?",TRUE,FALSE,,
Question: What is Chandler Bing's middle name?,Muriel,Emmanuelle,Alexander,Oakleigh
Question: Who pees on Monica after she is stung by a jellyfish?,Chandler,Joy,Rachel,Phoebe
Question: What is the name of Phoebe's twin sister?,Ursula,Susana,Andriana,Vanesa
Question: Ross says whose name at the altar in London?,Rachel,Monica,Phoebe,Joy
Question: Which member of the British royal family appeared on Friends?,Sarah/Duchess of York,Prince William/Duke of Cambridge,Beatrice/Princess of York,Edward/Earld of Wessex
Question: Brad Pitt and David Schwimmer's characters co-founded what club in high school?,"The ""I Hate Rachel Green Club""","The ""I Love Rachel Green Club""","The ""I Envy Rachel Green Club""","The ""I Hate Monica Geller Club"""
Question: Which of Joey's sisters did Chandler fool around with?,Mary Angela,Mary Therese,Tina,Veronica
Question: Who was Joey's imaginary childhood friend?,Maurice,John,Jack,Arthur
Question: What was the profession of Joey's imaginary friend?,Space cowboy,Policeman,Fireman,Astronaut
Question: What was Monica's nickname when she was a fieldhockey goalie?,Big Fat Goalie,Fat Lady Goalie,Big Ass Goalie,Mean Fat Goalie
Question: What does Rachel guess Chandler's job is?,A transponster,A postpontant,A dispostant,A coresponstant
Question: What is Richard's daughter's name?,Michelle,Yvone,Cathrine,Denice
Question: Who is Joey's agent?,Estelle,Helen,Nickol,Cathrine
Question: Who mistakingly threw a woman's wooden leg into a fire?,Joey,Chandler,Ross,Michael
Question: What was the name of Chandler and Ross' college band?,"Way, No Way",The Geller Bing Experience,The Rembrandts,Mind's Distortion
Question: Monica categorizes her towels into how many categories?,11,4,10,7
